Time:2,End Time,Feature 1,Feature 2,Event Id,Event Date,Event Duration
9.9218750000,10.4218750000,0.0375750602,0.0159989272,,,
10.0214843750,10.5214843750,0.0330781756,0.0256767840,,,
10.1210937500,10.6210937500,0.0303534396,0.0321405641,,,
10.2207031250,10.7207031250,0.0243500888,0.0377452742,,,
10.3203125000,10.8203125000,0.0265387414,0.0495466555,,,
10.4199218750,10.9199218750,0.0515879508,0.0696433771,,,
10.5195312500,11.0195312500,0.0957192137,0.0955862643,,,
10.6191406250,11.1191406250,0.1470242793,0.1198873244,,,
10.7187500000,11.2187500000,0.1955295070,0.1319691128,,,
10.8183593750,11.3183593750,0.2285081180,0.1241639743,,,
10.9179687500,11.4179687500,0.2344447072,0.0986434607,,,
11.0175781250,11.5175781250,0.2146512467,0.0637332385,,,
11.1171875000,11.6171875000,0.1824373529,0.0315185486,,,
11.2167968750,11.7167968750,0.1498298913,0.0107400023,,,
11.3164062500,11.8164062500,0.1222949628,0.0032697613,,,
11.4160156250,11.9160156250,0.1052614352,0.0063322239,,,
11.5156250000,12.0156250000,0.0987138544,0.0190411062,,,
11.6152343750,12.1152343750,0.0915661665,0.0431829235,,,
11.7148437500,12.2148437500,0.0774990704,0.0780297681,,,
11.8144531250,12.3144531250,0.0615602008,0.1143926415,,,
11.9140625000,12.4140625000,0.0522802601,0.1399138958,,,
12.0136718750,12.5136718750,0.0575047222,0.1470170873,,,
12.1132812500,12.6132812500,0.0778177249,0.1336376177,,,
12.2128906250,12.7128906250,0.0978262296,0.1033462551,,,
12.3125000000,12.8125000000,0.1060040092,0.0665315798,,,
12.4121093750,12.9121093750,0.1037509135,0.0348576601,,,
12.5117187500,13.0117187500,0.0926287252,0.0145598053,,,
12.6113281250,13.1113281250,0.0750407992,0.0065831526,,,
12.7109375000,13.2109375000,0.0653874912,0.0072271015,,,
12.8105468750,13.3105468750,0.0741380980,0.0106217702,,,
12.9101562500,13.4101562500,0.0986083997,0.0137345272,,,
13.0097656250,13.5097656250,0.1268552653,0.0158966127,,,
13.1093750000,13.6093750000,0.1420025537,0.0174814120,,,
13.2089843750,13.7089843750,0.1376550601,0.0199947968,,,
13.3085937500,13.8085937500,0.1207368303,0.0270931446,,,
13.4082031250,13.9082031250,0.0946288523,0.0425280901,,,
13.5078125000,14.0078125000,0.0599640599,0.0657303753,,,
13.6074218750,14.1074218750,0.0309108438,0.0909279163,,,
13.7070312500,14.2070312500,0.0217726925,0.1115468015,,,
13.8066406250,14.3066406250,0.0253908680,0.1227154116,,,
13.9062500000,14.4062500000,0.0292258265,0.1197877357,,,
14.0058593750,14.5058593750,0.0333427309,0.1047157141,,,
14.1054687500,14.6054687500,0.0412377859,0.0853630888,,,
14.2050781250,14.7050781250,0.0493276598,0.0667754674,,,
14.3046875000,14.8046875000,0.0538293922,0.0500792034,,,
14.4042968750,14.9042968750,0.0533767079,0.0365215656,,,
14.5039062500,15.0039062500,0.0519720089,0.0264107935,,,
14.6035156250,15.1035156250,0.0528772961,0.0185862672,,,
14.7031250000,15.2031250000,0.0507944106,0.0126492956,,,
14.8027343750,15.3027343750,0.0425501241,0.0099052114,,,
14.9023437500,15.4023437500,0.0336782346,0.0144481676,,,
15.0019531250,15.5019531250,0.0336884821,0.0292378829,,,
15.1015625000,15.6015625000,0.0556393609,0.0578385097,,,
15.2011718750,15.7011718750,0.1041757690,0.1035514546,,,
15.3007812500,15.8007812500,0.1668532762,0.1600717018,,,
15.4003906250,15.9003906250,0.2315094226,0.2138130324,,,
15.5000000000,16.0000000000,0.2846075482,0.2506332523,,,
15.5996093750,16.0996093750,0.3081447590,0.2610548245,,,
15.6992187500,16.1992187500,0.2960508858,0.2431296761,,,
15.7988281250,16.2988281250,0.2583660961,0.2049790349,,,
15.8984375000,16.3984375000,0.2049966460,0.1590105884,,,
15.9980468750,16.4980468750,0.1436926097,0.1197063546,,,
16.0976562500,16.5976562500,0.0862439207,0.0943044046,,,
16.1972656250,16.6972656250,0.0433663897,0.0781799301,,,
16.2968750000,16.7968750000,0.0238103803,0.0641692737,,,
16.3964843750,16.8964843750,0.0297541743,0.0501340455,,,
21.9218750000,22.4218750000,0.0914653328,0.0300025528,,,
22.0214843750,22.5214843750,0.1090351483,0.0298213523,,,
22.1210937500,22.6210937500,0.1181873111,0.0317276967,,,
22.2207031250,22.7207031250,0.1161235261,0.0298540230,,,
22.3203125000,22.8203125000,0.1017133497,0.0260488842,,,
22.4199218750,22.9199218750,0.0790704287,0.0298525631,,,
22.5195312500,23.0195312500,0.0582753107,0.0425374333,,,
22.6191406250,23.1191406250,0.0452566865,0.0559044911,,,
22.7187500000,23.2187500000,0.0382713367,0.0645469701,,,
22.8183593750,23.3183593750,0.0365799195,0.0653992643,,,
22.9179687500,23.4179687500,0.0400938505,0.0556468798,,,
23.0175781250,23.5175781250,0.0442566207,0.0368805746,,,
23.1171875000,23.6171875000,0.0454036285,0.0191948387,,,
23.2167968750,23.7167968750,0.0486033794,0.0129280950,,,
23.3164062500,23.8164062500,0.0596843807,0.0207496352,,,
23.4160156250,23.9160156250,0.0782223328,0.0347415451,,,
23.5156250000,24.0156250000,0.0949064062,0.0481506150,,,
23.6152343750,24.1152343750,0.1038263796,0.0582678994,,,
23.7148437500,24.2148437500,0.1039110759,0.0634635430,,,
23.8144531250,24.3144531250,0.0925304835,0.0637997735,,,
23.9140625000,24.4140625000,0.0690513168,0.0636541276,,,
24.0136718750,24.5136718750,0.0438552945,0.0643012328,,,
24.1132812500,24.6132812500,0.0282821058,0.0644936988,,,
24.2128906250,24.7128906250,0.0224930658,0.0618268071,,,
24.3125000000,24.8125000000,0.0218363014,0.0549577381,,,
24.4121093750,24.9121093750,0.0278560860,0.0447867616,,,
24.5117187500,25.0117187500,0.0462901652,0.0385992536,,,
24.6113281250,25.1113281250,0.0735721319,0.0423971237,,,
24.7109375000,25.2109375000,0.0984639182,0.0547393773,,,
24.8105468750,25.3105468750,0.1154561518,0.0676428635,,,
24.9101562500,25.4101562500,0.1197736437,0.0734346513,,,
25.0097656250,25.5097656250,0.1056836201,0.0667880186,,,
25.1093750000,25.6093750000,0.0776840260,0.0511621247,,,
25.2089843750,25.7089843750,0.0516403370,0.0362267764,,,
25.3085937500,25.8085937500,0.0389175576,0.0290776869,,,
25.4082031250,25.9082031250,0.0432443515,0.0283284417,,,
25.5078125000,26.0078125000,0.0611377500,0.0309631756,,,
25.6074218750,26.1074218750,0.0786131147,0.0338751618,,,
25.7070312500,26.2070312500,0.0830914570,0.0326765680,,,
25.8066406250,26.3066406250,0.0749001949,0.0254566074,,,
25.9062500000,26.4062500000,0.0603543156,0.0168506124,,,
26.0058593750,26.5058593750,0.0484882601,0.0141604628,,,
26.1054687500,26.6054687500,0.0516238857,0.0200006066,,,
26.2050781250,26.7050781250,0.0711802842,0.0334596779,,,
26.3046875000,26.8046875000,0.0935916279,0.0510515286,,,
26.4042968750,26.9042968750,0.1057280728,0.0636389376,,,
26.5039062500,27.0039062500,0.1033580586,0.0642754878,,,
26.6035156250,27.1035156250,0.0854933976,0.0564746295,,,
26.7031250000,27.2031250000,0.0569807633,0.0451745286,,,
26.8027343750,27.3027343750,0.0302786083,0.0312431698,,,
26.9023437500,27.4023437500,0.0165245573,0.0225968453,,,
27.0019531250,27.5019531250,0.0168257049,0.0251819618,,,
27.1015625000,27.6015625000,0.0265848004,0.0349393164,,,
27.2011718750,27.7011718750,0.0373747106,0.0495761672,,,
27.3007812500,27.8007812500,0.0437954683,0.0719231837,,,
27.4003906250,27.9003906250,0.0466387869,0.0991609550,,,
27.5000000000,28.0000000000,0.0481529978,0.1220331938,,,
27.5996093750,28.0996093750,0.0534641182,0.1285180628,,,
27.6992187500,28.1992187500,0.0706935801,0.1148800072,,,
27.7988281250,28.2988281250,0.0947516314,0.0891796654,,,
27.8984375000,28.3984375000,0.1120676808,0.0645168282,,,
27.9980468750,28.4980468750,0.1178960291,0.0510011548,,,
28.0976562500,28.5976562500,0.1105335127,0.0537683266,,,
28.1972656250,28.6972656250,0.0866011424,0.0665355298,,,
28.2968750000,28.7968750000,0.0556041051,0.0797944163,,,
28.3964843750,28.8964843750,0.0359465154,0.0852363537,,,
33.9218750000,34.4218750000,0.0687501889,0.0897434433,,,
34.0214843750,34.5214843750,0.1222491573,0.0858061640,,,
34.1210937500,34.6210937500,0.1876571165,0.0741643074,,,
34.2207031250,34.7207031250,0.2414536156,0.0572059129,,,
34.3203125000,34.8203125000,0.2697569121,0.0396161673,,,
34.4199218750,34.9199218750,0.2631560471,0.0259768898,,,
34.5195312500,35.0195312500,0.2209642224,0.0178344984,,,
34.6191406250,35.1191406250,0.1592986808,0.0154413503,,,
34.7187500000,35.2187500000,0.1005162068,0.0184200182,,,
34.8183593750,35.3183593750,0.0577457792,0.0226488483,,,
34.9179687500,35.4179687500,0.0353407361,0.0281100286,,,
35.0175781250,35.5175781250,0.0341139967,0.0388551642,,,
35.1171875000,35.6171875000,0.0543741046,0.0513888811,,,
35.2167968750,35.7167968750,0.0854507962,0.0571670168,,,
35.3164062500,35.8164062500,0.1086610683,0.0548440530,,,
35.4160156250,35.9160156250,0.1150778189,0.0485401687,,,
35.5156250000,36.0156250000,0.1060478036,0.0375878170,,,
35.6152343750,36.1152343750,0.0824785136,0.0231365734,,,
35.7148437500,36.2148437500,0.0495281860,0.0130895856,,,
35.8144531250,36.3144531250,0.0228891950,0.0127541672,,,
35.9140625000,36.4140625000,0.0106969642,0.0176721913,,,
36.0136718750,36.5136718750,0.0079847673,0.0249435816,,,
36.1132812500,36.6132812500,0.0116966932,0.0371716795,,,
36.2128906250,36.7128906250,0.0201714241,0.0568598465,,,
36.3125000000,36.8125000000,0.0268844591,0.0858624907,,,
36.4121093750,36.9121093750,0.0303356725,0.1204198226,,,
36.5117187500,37.0117187500,0.0327431852,0.1463907989,,,
36.6113281250,37.1113281250,0.0313026902,0.1524225158,,,
36.7109375000,37.2109375000,0.0293518197,0.1400932666,,,
36.8105468750,37.3105468750,0.0332848819,0.1125140401,,,
36.9101562500,37.4101562500,0.0432428654,0.0741653006,,,
37.0097656250,37.5097656250,0.0546211441,0.0409137476,,,
37.1093750000,37.6093750000,0.0604760342,0.0265918131,,,
37.2089843750,37.7089843750,0.0554006751,0.0269450538,,,
37.3085937500,37.8085937500,0.0447677416,0.0322990483,,,
37.4082031250,37.9082031250,0.0354365089,0.0415247147,,,
37.5078125000,38.0078125000,0.0266390731,0.0537591997,,,
37.6074218750,38.1074218750,0.0197230938,0.0648715541,,,
37.7070312500,38.2070312500,0.0228516405,0.0716771574,,,
37.8066406250,38.3066406250,0.0490309549,0.0749939321,,,
37.9062500000,38.4062500000,0.1019441752,0.0739744331,,,
38.0058593750,38.5058593750,0.1625795495,0.0660826182,,,
38.1054687500,38.6054687500,0.2030194874,0.0526299618,,,
38.2050781250,38.7050781250,0.2151728437,0.0381335210,,,
38.3046875000,38.8046875000,0.1949372671,0.0244404152,,,
38.4042968750,38.9042968750,0.1431878099,0.0136964838,,,
38.5039062500,39.0039062500,0.0796043149,0.0117960486,,,
38.6035156250,39.1035156250,0.0396315610,0.0193102668,,,
38.7031250000,39.2031250000,0.0349476278,0.0274784615,,,
38.8027343750,39.3027343750,0.0519162172,0.0323608984,,,
38.9023437500,39.4023437500,0.0703754003,0.0359347656,,,
39.0019531250,39.5019531250,0.0841262807,0.0383055004,,,
39.1015625000,39.6015625000,0.0920580803,0.0390414676,,,
39.2011718750,39.7011718750,0.0861921249,0.0425871292,,,
39.3007812500,39.8007812500,0.0669123846,0.0484076506,,,
39.4003906250,39.9003906250,0.0495963419,0.0513695464,,,
39.5000000000,40.0000000000,0.0407787033,0.0472078406,,,
39.5996093750,40.0996093750,0.0351158952,0.0376971993,,,
39.6992187500,40.1992187500,0.0334859202,0.0280511614,,,
39.7988281250,40.2988281250,0.0356925652,0.0260229214,,,
39.8984375000,40.3984375000,0.0332762504,0.0351771451,,,
39.9980468750,40.4980468750,0.0240368485,0.0546378451,,,
40.0976562500,40.5976562500,0.0136496622,0.0785659167,,,
40.1972656250,40.6972656250,0.0060549682,0.0969063706,,,
40.2968750000,40.7968750000,0.0026281749,0.1037628852,,,
