Time:2,End Time,Feature 1,Feature 2,Event Id,Event Date,Event Duration
45.9218750000,46.4218750000,0.0261838163,0.0221020751,,,
46.0214843750,46.5214843750,0.0217650983,0.0459802295,,,
46.1210937500,46.6210937500,0.0233736506,0.0804191544,,,
46.2207031250,46.7207031250,0.0360830716,0.1122698489,,,
46.3203125000,46.8203125000,0.0553739888,0.1339079524,,,
46.4199218750,46.9199218750,0.0698135513,0.1475372611,,,
46.5195312500,47.0195312500,0.0784048455,0.1619187812,,,
46.6191406250,47.1191406250,0.0854019133,0.1853933069,,,
46.7187500000,47.2187500000,0.0939014539,0.2175100672,,,
46.8183593750,47.3183593750,0.1062329688,0.2483236311,,,
46.9179687500,47.4179687500,0.1210527710,0.2652931497,,,
47.0175781250,47.5175781250,0.1353928912,0.2605133035,,,
47.1171875000,47.6171875000,0.1404477708,0.2347428102,,,
47.2167968750,47.7167968750,0.1279749029,0.1992486367,,,
47.3164062500,47.8164062500,0.0991157022,0.1675097117,,,
47.4160156250,47.9160156250,0.0684121854,0.1482442154,,,
47.5156250000,48.0156250000,0.0470126239,0.1423075132,,,
47.6152343750,48.1152343750,0.0370160025,0.1457126479,,,
47.7148437500,48.2148437500,0.0337847119,0.1564947764,,,
47.8144531250,48.3144531250,0.0346400498,0.1731065081,,,
47.9140625000,48.4140625000,0.0358413701,0.1921688967,,,
48.0136718750,48.5136718750,0.0305768602,0.2086052646,,,
48.1132812500,48.6132812500,0.0198480180,0.2136244062,,,
48.2128906250,48.7128906250,0.0148979218,0.1990744024,,,
48.3125000000,48.8125000000,0.0186888297,0.1660264455,,,
48.4121093750,48.9121093750,0.0252500919,0.1231238697,,,
48.5117187500,49.0117187500,0.0338656996,0.0828936495,,,
48.6113281250,49.1113281250,0.0458490544,0.0581891461,,,
48.7109375000,49.2109375000,0.0537926995,0.0532237945,,,
48.8105468750,49.3105468750,0.0525888306,0.0612265909,,,
48.9101562500,49.4101562500,0.0440926430,0.0705950322,,,
49.0097656250,49.5097656250,0.0352085955,0.0728391390,,,
49.1093750000,49.6093750000,0.0364067569,0.0682112777,,,
49.2089843750,49.7089843750,0.0523063973,0.0656760671,,,
49.3085937500,49.8085937500,0.0726506214,0.0759635927,,,
49.4082031250,49.9082031250,0.0848644920,0.1028576070,,,
49.5078125000,50.0078125000,0.0836342587,0.1383677829,,,
49.6074218750,50.1074218750,0.0713919553,0.1712180503,,,
49.7070312500,50.2070312500,0.0523447775,0.1899783120,,,
49.8066406250,50.3066406250,0.0323596328,0.1861876734,,,
49.9062500000,50.4062500000,0.0197696922,0.1610164275,,,
50.0058593750,50.5058593750,0.0212597173,0.1244043228,,,
50.1054687500,50.6054687500,0.0296505167,0.0895547388,,,
50.2050781250,50.7050781250,0.0327302519,0.0730519567,,,
50.3046875000,50.8046875000,0.0304025943,0.0829958635,,,
50.4042968750,50.9042968750,0.0296757497,0.1132047415,,,
50.5039062500,51.0039062500,0.0293748704,0.1564439886,,,
50.6035156250,51.1035156250,0.0289472660,0.2043520297,,,
50.7031250000,51.2031250000,0.0350075318,0.2416073586,,,
50.8027343750,51.3027343750,0.0470262159,0.2626708167,,,
50.9023437500,51.4023437500,0.0554564253,0.2707408385,,,
51.0019531250,51.5019531250,0.0575714347,0.2643160865,,,
51.1015625000,51.6015625000,0.0510491571,0.2424329595,,,
51.2011718750,51.7011718750,0.0357939287,0.2148474900,,,
51.3007812500,51.8007812500,0.0214375960,0.1904027583,,,
51.4003906250,51.9003906250,0.0177832643,0.1706923629,,,
51.5000000000,52.0000000000,0.0213312488,0.1524427500,,,
51.5996093750,52.0996093750,0.0281499016,0.1328572359,,,
51.6992187500,52.1992187500,0.0363096556,0.1104254257,,,
51.7988281250,52.2988281250,0.0404644100,0.0862541064,,,
51.8984375000,52.3984375000,0.0371783931,0.0651220907,,,
51.9980468750,52.4980468750,0.0296878675,0.0519413215,,,
52.0976562500,52.5976562500,0.0227982823,0.0465083959,,,
52.1972656250,52.6972656250,0.0191689594,0.0473356842,,,
52.2968750000,52.7968750000,0.0197965872,0.0532727098,,,
52.3964843750,52.8964843750,0.0245899496,0.0636768437,,,
69.9218750000,70.4218750000,0.1138457129,0.0557018314,,,
70.0214843750,70.5214843750,0.0804923979,0.0776123719,,,
70.1210937500,70.6210937500,0.0410749297,0.1014185739,,,
70.2207031250,70.7207031250,0.0165846565,0.1253148365,,,
70.3203125000,70.8203125000,0.0116018554,0.1461680159,,,
70.4199218750,70.9199218750,0.0136807146,0.1597420884,,,
70.5195312500,71.0195312500,0.0170551013,0.1622527637,,,
70.6191406250,71.1191406250,0.0217111049,0.1586162585,,,
70.7187500000,71.2187500000,0.0244496562,0.1606332330,,,
70.8183593750,71.3183593750,0.0233308288,0.1772127024,,,
70.9179687500,71.4179687500,0.0213109973,0.2059143658,,,
71.0175781250,71.5175781250,0.0197041572,0.2392531941,,,
71.1171875000,71.6171875000,0.0165415609,0.2696818610,,,
71.2167968750,71.7167968750,0.0125700490,0.2909275342,,,
71.3164062500,71.8164062500,0.0104406999,0.2968899322,,,
71.4160156250,71.9160156250,0.0118971065,0.2867304895,,,
71.5156250000,72.0156250000,0.0197443085,0.2678979457,,,
71.6152343750,72.1152343750,0.0319642515,0.2499726207,,,
71.7148437500,72.2148437500,0.0426476077,0.2333984258,,,
71.8144531250,72.3144531250,0.0481918470,0.2191835877,,,
71.9140625000,72.4140625000,0.0466211247,0.2138904821,,,
72.0136718750,72.5136718750,0.0364389870,0.2217317500,,,
72.1132812500,72.6132812500,0.0231670515,0.2406831527,,,
72.2128906250,72.7128906250,0.0147332507,0.2691198001,,,
72.3125000000,72.8125000000,0.0118956658,0.3024419406,,,
72.4121093750,72.9121093750,0.0141969478,0.3327489495,,,
72.5117187500,73.0117187500,0.0244818728,0.3483753364,,,
72.6113281250,73.1113281250,0.0367643222,0.3423312529,,,
72.7109375000,73.2109375000,0.0396880395,0.3113908122,,,
72.8105468750,73.3105468750,0.0373382281,0.2602734012,,,
72.9101562500,73.4101562500,0.0412698358,0.2050897106,,,
73.0097656250,73.5097656250,0.0502505339,0.1634723213,,,
73.1093750000,73.6093750000,0.0585704759,0.1377619013,,,
73.2089843750,73.7089843750,0.0656867153,0.1214192221,,,
73.3085937500,73.8085937500,0.0712168510,0.1101886792,,,
73.4082031250,73.9082031250,0.0690629688,0.0992781214,,,
73.5078125000,74.0078125000,0.0550214330,0.0888901999,,,
73.6074218750,74.1074218750,0.0383004657,0.0892129149,,,
73.7070312500,74.2070312500,0.0385250335,0.1105932518,,,
73.8066406250,74.3066406250,0.0570758255,0.1495695304,,,
73.9062500000,74.4062500000,0.0816566429,0.1892417597,,,
74.0058593750,74.5058593750,0.1038399209,0.2172050944,,,
74.1054687500,74.6054687500,0.1213213044,0.2295172546,,,
74.2050781250,74.7050781250,0.1272522885,0.2249624401,,,
74.3046875000,74.8046875000,0.1157984297,0.2082058608,,,
74.4042968750,74.9042968750,0.0940541763,0.1888798532,,,
74.5039062500,75.0039062500,0.0755419695,0.1735299973,,,
