Time:6,End Time,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Event Id,Event Date,Event Duration
9.9218750000,10.4218750000,0.0954724603,0.0095203862,0.0518142050,0.0796586233,0.0652713993,0.0174490661,,,
10.0214843750,10.5214843750,0.0673194693,0.0068330333,0.0520900263,0.1117336375,0.0570473090,0.0256442226,,,
10.1210937500,10.6210937500,0.0576681835,0.0058393387,0.0534268526,0.1313504499,0.0522767418,0.0296177578,,,
10.2207031250,10.7207031250,0.0725422426,0.0067811936,0.0574482833,0.1278208115,0.0473107063,0.0292051192,,,
10.3203125000,10.8203125000,0.0977894413,0.0077070694,0.0597400031,0.1045762840,0.0481675429,0.0248719689,,,
10.4199218750,10.9199218750,0.1204432918,0.0077241367,0.0542227070,0.0722208545,0.0556357469,0.0173862258,,,
10.5195312500,11.0195312500,0.1363939897,0.0072192684,0.0437768557,0.0432639041,0.0609092418,0.0101852595,,,
10.6191406250,11.1191406250,0.1432118843,0.0069273510,0.0361655654,0.0355380383,0.0617894716,0.0078390781,,,
10.7187500000,11.2187500000,0.1380348842,0.0086042747,0.0341886861,0.0590712083,0.0586463601,0.0105130261,,,
10.8183593750,11.3183593750,0.1183209197,0.0132888089,0.0353737904,0.1019012250,0.0463950848,0.0140859415,,,
10.9179687500,11.4179687500,0.0871016545,0.0197173908,0.0358798945,0.1411824128,0.0276702858,0.0156647337,,,
11.0175781250,11.5175781250,0.0583426032,0.0256063112,0.0340729127,0.1657699553,0.0138324872,0.0159864601,,,
11.1171875000,11.6171875000,0.0442096134,0.0301582257,0.0344785027,0.1886465145,0.0096388263,0.0148399382,,,
11.2167968750,11.7167968750,0.0467837254,0.0340099199,0.0416480629,0.2232023579,0.0098738860,0.0122908807,,,
11.3164062500,11.8164062500,0.0629626495,0.0382014061,0.0528825836,0.2643451356,0.0095613678,0.0100373244,,,
11.4160156250,11.9160156250,0.0842880966,0.0435010810,0.0600926805,0.2929805167,0.0090077397,0.0090311369,,,
11.5156250000,12.0156250000,0.0994309118,0.0503090352,0.0601622738,0.2994309823,0.0105129766,0.0079948204,,,
