Time:6,End Time,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Event Id,Event Date,Event Duration
9.9218750000,10.4218750000,0.0834889889,0.0537622202,0.4112395953,0.0151985627,0.0971071211,0.0716940026,,,
10.0214843750,10.5214843750,0.0908772090,0.0425699402,0.3543125219,0.0171349835,0.1183281144,0.0488930876,,,
10.1210937500,10.6210937500,0.0886663051,0.0276879203,0.2957488735,0.0164755929,0.1523649499,0.0269360159,,,
10.2207031250,10.7207031250,0.0819090921,0.0175428581,0.2359747601,0.0139764287,0.1594734393,0.0219184812,,,
10.3203125000,10.8203125000,0.0786656248,0.0177323353,0.1789743894,0.0129138165,0.1446255041,0.0329114167,,,
10.4199218750,10.9199218750,0.0848471851,0.0220468346,0.1374152325,0.0159165111,0.1029115079,0.0514923210,,,
10.5195312500,11.0195312500,0.0953064862,0.0262565782,0.1142779327,0.0249615971,0.0638685566,0.0694883309,,,
10.6191406250,11.1191406250,0.0998819381,0.0320672257,0.1042412590,0.0377724166,0.0275514633,0.0910506765,,,
10.7187500000,11.2187500000,0.0919632352,0.0421949645,0.0960834717,0.0486781500,0.0219172332,0.1098340479,,,
10.8183593750,11.3183593750,0.0725645414,0.0597761468,0.0836226671,0.0536855384,0.0339625024,0.1197803060,,,
10.9179687500,11.4179687500,0.0487585820,0.0800362890,0.0720992557,0.0517875522,0.0412791610,0.1258625936,,,
11.0175781250,11.5175781250,0.0322261106,0.0935477353,0.0777948290,0.0453246498,0.0420145994,0.1273328225,,,
11.1171875000,11.6171875000,0.0281395865,0.0967924259,0.1083863626,0.0411888196,0.0398028405,0.1240602766,,,
11.2167968750,11.7167968750,0.0370159394,0.0873882891,0.1432248052,0.0466671665,0.0451533414,0.1056431022,,,
11.3164062500,11.8164062500,0.0658124683,0.0661776552,0.1585825176,0.0604388668,0.0517617902,0.0857829721,,,
11.4160156250,11.9160156250,0.1218639394,0.0444288745,0.1515616666,0.0754965883,0.0537427688,0.0616737574,,,
11.5156250000,12.0156250000,0.1911898026,0.0299527103,0.1244966882,0.0848773783,0.0607081999,0.0461035087,,,
11.6152343750,12.1152343750,0.2557215501,0.0209732406,0.0840745824,0.0858288999,0.0959723732,0.0295766862,,,
11.7148437500,12.2148437500,0.3066117649,0.0159855059,0.0497128213,0.0806703573,0.1234872561,0.0260519655,,,
11.8144531250,12.3144531250,0.3239321819,0.0130323765,0.0370262653,0.0750536605,0.1374042608,0.0280876594,,,
11.9140625000,12.4140625000,0.2949994856,0.0094825114,0.0369900849,0.0719117929,0.1356592075,0.0331340940,,,
