Time:2,End Time,Feature 1,Feature 2,Event Id,Event Date,Event Duration
9.9218750000,10.4218750000,0.0504882007,0.1311643313,,,
10.0214843750,10.5214843750,0.0590128802,0.1139926601,,,
10.1210937500,10.6210937500,0.0839392224,0.1479150542,,,
10.2207031250,10.7207031250,0.1134043227,0.2024253405,,,
10.3203125000,10.8203125000,0.1364056661,0.2465861809,,,
10.4199218750,10.9199218750,0.1469953912,0.2697665078,,,
10.5195312500,11.0195312500,0.1420020769,0.2723610738,,,
10.6191406250,11.1191406250,0.1265343236,0.2676700578,,,
10.7187500000,11.2187500000,0.1103156794,0.2835736869,,,
10.8183593750,11.3183593750,0.0973386465,0.3271527602,,,
10.9179687500,11.4179687500,0.0852770221,0.3788317952,,,
11.0175781250,11.5175781250,0.0742326759,0.4149451959,,,
11.1171875000,11.6171875000,0.0659562396,0.4150907124,,,
11.2167968750,11.7167968750,0.0574956123,0.3661690639,,,
11.3164062500,11.8164062500,0.0463000192,0.2866051737,,,
11.4160156250,11.9160156250,0.0347119682,0.2211688913,,,
11.5156250000,12.0156250000,0.0273491349,0.1986139770,,,
11.6152343750,12.1152343750,0.0268580454,0.2196756873,,,
11.7148437500,12.2148437500,0.0348531167,0.2575950482,,,
11.8144531250,12.3144531250,0.0486376734,0.2784025249,,,
11.9140625000,12.4140625000,0.0598259178,0.2629318306,,,
12.0136718750,12.5136718750,0.0645137844,0.2161033649,,,
12.1132812500,12.6132812500,0.0639281313,0.1521272107,,,
12.2128906250,12.7128906250,0.0561436349,0.0985251711,,,
12.3125000000,12.8125000000,0.0409713612,0.0748586322,,,
12.4121093750,12.9121093750,0.0272152260,0.0752784635,,,
12.5117187500,13.0117187500,0.0208070594,0.0818001660,,,
12.6113281250,13.1113281250,0.0241787839,0.0882425833,,,
12.7109375000,13.2109375000,0.0433404087,0.1053926154,,,
12.8105468750,13.3105468750,0.0808235340,0.1506789551,,,
12.9101562500,13.4101562500,0.1288542023,0.2255693100,,,
13.0097656250,13.5097656250,0.1737604438,0.3039838441,,,
13.1093750000,13.6093750000,0.1990758486,0.3547136637,,,
13.2089843750,13.7089843750,0.1933358134,0.3625143154,,,
13.3085937500,13.8085937500,0.1607200440,0.3198978897,,,
13.4082031250,13.9082031250,0.1145207257,0.2371382680,,,
13.5078125000,14.0078125000,0.0700924384,0.1455585790,,,
13.6074218750,14.1074218750,0.0402161009,0.0788062631,,,
13.7070312500,14.2070312500,0.0310341253,0.0514594126,,,
13.8066406250,14.3066406250,0.0411560080,0.0649061185,,,
13.9062500000,14.4062500000,0.0641224439,0.1037257214,,,
14.0058593750,14.5058593750,0.0860677787,0.1515324656,,,
14.1054687500,14.6054687500,0.0974219658,0.2068489488,,,
14.2050781250,14.7050781250,0.0994169366,0.2585535239,,,
14.3046875000,14.8046875000,0.0913830485,0.2888639706,,,
14.4042968750,14.9042968750,0.0713460185,0.2946008384,,,
14.5039062500,15.0039062500,0.0474649920,0.2806826880,,,
14.6035156250,15.1035156250,0.0296066944,0.2526944170,,,
14.7031250000,15.2031250000,0.0197470883,0.2211702245,,,
14.8027343750,15.3027343750,0.0166867304,0.1977640140,,,
14.9023437500,15.4023437500,0.0199164443,0.1805341062,,,
15.0019531250,15.5019531250,0.0275953261,0.1614305611,,,
15.1015625000,15.6015625000,0.0383622369,0.1362222314,,,
15.2011718750,15.7011718750,0.0497365209,0.1093874146,,,
15.3007812500,15.8007812500,0.0597488053,0.0871818893,,,
15.4003906250,15.9003906250,0.0672382875,0.0737375734,,,
15.5000000000,16.0000000000,0.0720298846,0.0683423134,,,
15.5996093750,16.0996093750,0.0750984170,0.0667407617,,,
15.6992187500,16.1992187500,0.0788449587,0.0688302254,,,
15.7988281250,16.2988281250,0.0862430148,0.0799101891,,,
15.8984375000,16.3984375000,0.1001358972,0.1021424412,,,
15.9980468750,16.4980468750,0.1217057721,0.1253080294,,,
16.0976562500,16.5976562500,0.1474507223,0.1418301239,,,
16.1972656250,16.6972656250,0.1694575529,0.1559474654,,,
16.2968750000,16.7968750000,0.1766648689,0.1744844707,,,
16.3964843750,16.8964843750,0.1650707516,0.2016638794,,,
33.9218750000,34.4218750000,0.0194008138,0.1210156670,,,
34.0214843750,34.5214843750,0.0213957970,0.0760505399,,,
34.1210937500,34.6210937500,0.0307333614,0.0917763994,,,
34.2207031250,34.7207031250,0.0453111604,0.1404518709,,,
34.3203125000,34.8203125000,0.0605643475,0.1920497429,,,
34.4199218750,34.9199218750,0.0670278136,0.2330241777,,,
34.5195312500,35.0195312500,0.0603129367,0.2564015675,,,
34.6191406250,35.1191406250,0.0460736913,0.2562684082,,,
34.7187500000,35.2187500000,0.0323211733,0.2324466672,,,
34.8183593750,35.3183593750,0.0232794862,0.1935746986,,,
34.9179687500,35.4179687500,0.0215663963,0.1563705932,,,
35.0175781250,35.5175781250,0.0240525993,0.1292443178,,,
35.1171875000,35.6171875000,0.0238542665,0.1087441750,,,
35.2167968750,35.7167968750,0.0218886027,0.0918610497,,,
35.3164062500,35.8164062500,0.0212183294,0.0824291645,,,
35.4160156250,35.9160156250,0.0194411012,0.0825942723,,,
35.5156250000,36.0156250000,0.0173729509,0.0916595351,,,
35.6152343750,36.1152343750,0.0190468962,0.1092372748,,,
35.7148437500,36.2148437500,0.0206293730,0.1364748926,,,
35.8144531250,36.3144531250,0.0170428119,0.1659224867,,,
35.9140625000,36.4140625000,0.0120968362,0.1898394411,,,
36.0136718750,36.5136718750,0.0101167182,0.2020707749,,,
36.1132812500,36.6132812500,0.0088355097,0.1966516989,,,
36.2128906250,36.7128906250,0.0076402849,0.1738730094,,,
36.3125000000,36.8125000000,0.0107353499,0.1376002908,,,
36.4121093750,36.9121093750,0.0194844405,0.0932064511,,,
36.5117187500,37.0117187500,0.0300090942,0.0611110102,,,
36.6113281250,37.1113281250,0.0387262260,0.0575677146,,,
36.7109375000,37.2109375000,0.0425011062,0.0900173879,,,
36.8105468750,37.3105468750,0.0404680654,0.1521974527,,,
36.9101562500,37.4101562500,0.0333089320,0.2112975226,,,
37.0097656250,37.5097656250,0.0243647841,0.2364397088,,,
37.1093750000,37.6093750000,0.0174572629,0.2271623492,,,
37.2089843750,37.7089843750,0.0145679769,0.1901014873,,,
37.3085937500,37.8085937500,0.0144887161,0.1322265129,,,
37.4082031250,37.9082031250,0.0145234369,0.0735404584,,,
37.5078125000,38.0078125000,0.0132344608,0.0368255376,,,
37.6074218750,38.1074218750,0.0105732747,0.0242778495,,,
37.7070312500,38.2070312500,0.0071487600,0.0262998348,,,
37.8066406250,38.3066406250,0.0062730082,0.0368826282,,,
37.9062500000,38.4062500000,0.0136764948,0.0608821649,,,
38.0058593750,38.5058593750,0.0286319972,0.1086955742,,,
38.1054687500,38.6054687500,0.0409233035,0.1670837396,,,
38.2050781250,38.7050781250,0.0452944432,0.2106037661,,,
38.3046875000,38.8046875000,0.0453249813,0.2295127362,,,
38.4042968750,38.9042968750,0.0482528575,0.2272765444,,,
38.5039062500,39.0039062500,0.0577321873,0.2121477248,,,
38.6035156250,39.1035156250,0.0757940667,0.1960730021,,,
38.7031250000,39.2031250000,0.1000510916,0.1828801776,,,
38.8027343750,39.3027343750,0.1213468914,0.1728063865,,,
38.9023437500,39.4023437500,0.1251739398,0.1753476468,,,
39.0019531250,39.5019531250,0.1068831874,0.1851341598,,,
39.1015625000,39.6015625000,0.0775350440,0.1839481445,,,
39.2011718750,39.7011718750,0.0485268008,0.1697587674,,,
39.3007812500,39.8007812500,0.0234353265,0.1525783222,,,
39.4003906250,39.9003906250,0.0090545905,0.1294118547,,,
39.5000000000,40.0000000000,0.0119754937,0.0931000172,,,
39.5996093750,40.0996093750,0.0260603372,0.0672820545,,,
39.6992187500,40.1992187500,0.0412900043,0.0796564508,,,
39.7988281250,40.2988281250,0.0548882824,0.1151069700,,,
39.8984375000,40.3984375000,0.0646582128,0.1361366262,,,
39.9980468750,40.4980468750,0.0676770872,0.1352378361,,,
40.0976562500,40.5976562500,0.0654664027,0.1198937898,,,
40.1972656250,40.6972656250,0.0614465630,0.1027556122,,,
40.2968750000,40.7968750000,0.0596316406,0.1099476197,,,
40.3964843750,40.8964843750,0.0623055426,0.1411158802,,,
45.9218750000,46.4218750000,0.0518040175,0.0298846241,,,
46.0214843750,46.5214843750,0.0691720236,0.0238867306,,,
46.1210937500,46.6210937500,0.0830927638,0.0241235411,,,
46.2207031250,46.7207031250,0.0879739656,0.0282353403,,,
46.3203125000,46.8203125000,0.0881873115,0.0366344613,,,
46.4199218750,46.9199218750,0.0871411715,0.0538330308,,,
46.5195312500,47.0195312500,0.0805046247,0.0843983093,,,
46.6191406250,47.1191406250,0.0668807542,0.1332070656,,,
46.7187500000,47.2187500000,0.0550837039,0.1855857701,,,
46.8183593750,47.3183593750,0.0534223407,0.2207048474,,,
46.9179687500,47.4179687500,0.0613501186,0.2325812885,,,
47.0175781250,47.5175781250,0.0772897495,0.2256791880,,,
47.1171875000,47.6171875000,0.0992402356,0.2005570244,,,
47.2167968750,47.7167968750,0.1181168191,0.1671198557,,,
47.3164062500,47.8164062500,0.1283647405,0.1443585608,,,
47.4160156250,47.9160156250,0.1373013156,0.1371192727,,,
47.5156250000,48.0156250000,0.1662954745,0.1377825895,,,
47.6152343750,48.1152343750,0.2241773953,0.1375833446,,,
47.7148437500,48.2148437500,0.3001170720,0.1286348231,,,
47.8144531250,48.3144531250,0.3691876586,0.1118431043,,,
47.9140625000,48.4140625000,0.4076075516,0.0975586930,,,
48.0136718750,48.5136718750,0.4010993042,0.0970501038,,,
48.1132812500,48.6132812500,0.3501966020,0.1154384509,,,
48.2128906250,48.7128906250,0.2677660855,0.1474845913,,,
48.3125000000,48.8125000000,0.1793188287,0.1743551394,,,
48.4121093750,48.9121093750,0.1142607334,0.1819660255,,,
