Time:2,End Time,Feature 1,Feature 2,Event Id,Event Date,Event Duration
27.2011718750,27.7011718750,0.2141246041,0.9957752893,,,
27.3007812500,27.8007812500,0.1758850220,1.0102862371,,,
27.4003906250,27.9003906250,0.1146909913,0.9774318408,,,
27.5000000000,28.0000000000,0.0592233433,0.9066489705,,,
27.5996093750,28.0996093750,0.0258409222,0.8161646324,,,
27.6992187500,28.1992187500,0.0117716857,0.7217377675,,,
27.7988281250,28.2988281250,0.0077098673,0.6376728273,,,
27.8984375000,28.3984375000,0.0057725603,0.5845594073,,,
27.9980468750,28.4980468750,0.0041455649,0.5818076008,,,
28.0976562500,28.5976562500,0.0078021157,0.6359526784,,,
28.1972656250,28.6972656250,0.0196915689,0.7312611383,,,
28.2968750000,28.7968750000,0.0342565789,0.8465430813,,,
28.3964843750,28.8964843750,0.0430505578,0.9670957383,,,
57.9218750000,58.4218750000,0.0251783438,0.0679639938,,,
58.0214843750,58.5214843750,0.0336374624,0.0708549201,,,
58.1210937500,58.6210937500,0.0386322260,0.0647808845,,,
58.2207031250,58.7207031250,0.0378400273,0.0664662539,,,
58.3203125000,58.8203125000,0.0321456710,0.1055396773,,,
58.4199218750,58.9199218750,0.0253440497,0.2090242868,,,
58.5195312500,59.0195312500,0.0244417277,0.3780165349,,,
58.6191406250,59.1191406250,0.0309293433,0.5867981181,,,
58.7187500000,59.2187500000,0.0389681923,0.7883529989,,,
58.8183593750,59.3183593750,0.0435222268,0.9429973798,,,
58.9179687500,59.4179687500,0.0444167793,1.0415387029,,,
59.0175781250,59.5175781250,0.0431294932,1.0912702299,,,
59.1171875000,59.6171875000,0.0431150393,1.0972860272,,,
59.2167968750,59.7167968750,0.0458034283,1.0827663415,,,
59.3164062500,59.8164062500,0.0518212669,1.0892022990,,,
59.4160156250,59.9160156250,0.0595799803,1.1340142492,,,
59.5156250000,60.0156250000,0.0638338707,1.1955731489,,,
59.6152343750,60.1152343750,0.0609486814,1.2474116797,,,
59.7148437500,60.2148437500,0.0578366154,1.2763461985,,,
