Time:2,End Time,Feature 1,Feature 2,Event Id,Event Date,Event Duration
33.9218750000,34.4218750000,0.3184382742,0.0244736971,,,
34.0214843750,34.5214843750,0.2923498261,0.0231948951,,,
34.1210937500,34.6210937500,0.2220764448,0.0501866337,,,
34.2207031250,34.7207031250,0.1642077516,0.1025587551,,,
34.3203125000,34.8203125000,0.1289633512,0.1822520888,,,
34.4199218750,34.9199218750,0.1337376486,0.2491842001,,,
34.5195312500,35.0195312500,0.1488317204,0.2938114054,,,
34.6191406250,35.1191406250,0.1503667352,0.3163517721,,,
34.7187500000,35.2187500000,0.1305209528,0.3069064673,,,
34.8183593750,35.3183593750,0.0842924131,0.2744901117,,,
34.9179687500,35.4179687500,0.0465604535,0.2507223603,,,
35.0175781250,35.5175781250,0.0299534623,0.2469168286,,,
35.1171875000,35.6171875000,0.0296526187,0.2690708271,,,
35.2167968750,35.7167968750,0.0469703452,0.2948811528,,,
35.3164062500,35.8164062500,0.0955072283,0.3173426270,,,
35.4160156250,35.9160156250,0.1555926093,0.3079381241,,,
35.5156250000,36.0156250000,0.2125475184,0.2762342088,,,
35.6152343750,36.1152343750,0.2653118536,0.2080996203,,,
35.7148437500,36.2148437500,0.2883557737,0.1432016250,,,
35.8144531250,36.3144531250,0.2820822975,0.0851987950,,,
35.9140625000,36.4140625000,0.2624628764,0.0705915195,,,
36.0136718750,36.5136718750,0.2464246014,0.1048975468,,,
36.1132812500,36.6132812500,0.2437127586,0.1947885501,,,
36.2128906250,36.7128906250,0.2636272235,0.3536972298,,,
36.3125000000,36.8125000000,0.2675168313,0.5276120847,,,
36.4121093750,36.9121093750,0.2499123664,0.7599730402,,,
36.5117187500,37.0117187500,0.2125994615,0.9143763860,,,
36.6113281250,37.1113281250,0.1559174645,1.0308953774,,,
36.7109375000,37.2109375000,0.0930035571,1.0866356003,,,
36.8105468750,37.3105468750,0.0802807447,1.0761283605,,,
36.9101562500,37.4101562500,0.0961660480,0.9939109893,,,
37.0097656250,37.5097656250,0.1256983050,0.9042557561,,,
37.1093750000,37.6093750000,0.1448198533,0.7876837610,,,
37.2089843750,37.7089843750,0.1415414502,0.6610451008,,,
37.3085937500,37.8085937500,0.1155049006,0.5657196873,,,
37.4082031250,37.9082031250,0.0820914989,0.4662235870,,,
37.5078125000,38.0078125000,0.0531167148,0.3670390265,,,
37.6074218750,38.1074218750,0.0316140768,0.3141271813,,,
37.7070312500,38.2070312500,0.0288235426,0.2826104460,,,
37.8066406250,38.3066406250,0.0376273984,0.2849927214,,,
37.9062500000,38.4062500000,0.0537971254,0.3307746752,,,
38.0058593750,38.5058593750,0.0887357636,0.4158813974,,,
38.1054687500,38.6054687500,0.1265939701,0.5235513037,,,
38.2050781250,38.7050781250,0.1541375808,0.6887651045,,,
38.3046875000,38.8046875000,0.1518396078,0.8291110088,,,
38.4042968750,38.9042968750,0.1357259050,0.9732550043,,,
38.5039062500,39.0039062500,0.1057136992,1.0807304378,,,
38.6035156250,39.1035156250,0.0792766857,1.1196189157,,,
38.7031250000,39.2031250000,0.0531651148,1.0962206347,,,
38.8027343750,39.3027343750,0.0517915497,1.0290456494,,,
38.9023437500,39.4023437500,0.0805682123,0.9148174069,,,
39.0019531250,39.5019531250,0.1268682353,0.7736363787,,,
39.1015625000,39.6015625000,0.2061110338,0.6668132870,,,
39.2011718750,39.7011718750,0.2685468769,0.5501719669,,,
39.3007812500,39.8007812500,0.3105984763,0.4827666835,,,
39.4003906250,39.9003906250,0.2995694059,0.4366443274,,,
39.5000000000,40.0000000000,0.2575823036,0.4040104458,,,
39.5996093750,40.0996093750,0.2169348583,0.4118199064,,,
39.6992187500,40.1992187500,0.2318016320,0.4751356328,,,
39.7988281250,40.2988281250,0.3064987820,0.5698594091,,,
